airtable_record_id,jurisdiction,state,shovels_coverage_status,reg09_permits_shovels,rsc05_median_approval_days_shovels,shovels_last_synced
recFUX7cj41qgHMMK,Scott County MN,MN,Not Covered,0,,
recvY4XGm3DVbAi9J,Franklin County MO,MO,Not Covered,0,,
recaVCCzStwaGGRLd,Hinds County MS,MS,Not Covered,0,,
rechthCWE5zcB8Mqy,Rankin County MS,MS,Not Covered,0,,
recugmuBdr7PcZ3oO,Cascade County MT,MT,Not Covered,0,,
recnNiqDQIY1LXcxs,Lewis and Clark County MT,MT,Not Covered,0,,
recpwAPbx7kaC9pZ3,York County NE,NE,Not Covered,0,,
rec6fALBv2qkPiIxk,Essex County NJ,NJ,Not Covered,0,,
recvcybzmMDEdSqkl,Morris County NJ,NJ,Not Covered,0,,
recQqnaSMOXNbDFjs,Lea County NM,NM,Not Covered,0,,
recrOBGzZOseA7bam,Storey County NV,NV,Not Covered,0,,
recUGUsAe515moMxy,Erie County NY,NY,Not Covered,0,,
recnIwZuzEfd4Xdjk,Allen County OH,OH,Not Covered,0,,
recPik275YyYRMVn7,Licking County OH,OH,Not Covered,0,,
recBjZauA37Jpf28c,Medina County OH,OH,Not Covered,0,,
recRWE4ZrmpOmclwt,Berks County PA,PA,Not Covered,0,,
rec9spAsK4FCjfOBV,Lancaster County PA,PA,Not Covered,0,,
recE191uxuSIByVr1,Montgomery County PA,PA,Not Covered,0,,
rectQ70iUM0Z1YwPr,Montour County PA,PA,Not Covered,0,,
recdNAmUNa8fDAxgJ,Providence County RI,RI,Not Covered,0,,
recM6kREvxoLX27ce,York County SC,SC,Not Covered,0,,
recJjm205OROmdVNF,Minnehaha County SD,SD,Not Covered,0,,
recCbGsLdDM1yaxtE,Rutherford County TN,TN,Not Covered,0,,
recwea2KPNz2XZcNj,Hood County TX,TX,Not Covered,0,,
reccnqqRnoly6ohjV,Taylor County TX,TX,Not Covered,0,,
rec1lygKEO48G3Foc,Webb County TX,TX,Not Covered,0,,
recL8SPwtMWxTKZLn,Davis County UT,UT,Not Covered,0,,
recaedZ9dbluYOGIX,Culpeper County VA,VA,Not Covered,0,,
reccY7leenp8QJRoO,Roanoke County VA,VA,Not Covered,0,,
rect7BwnetoTJVj28,Spotsylvania County VA,VA,Not Covered,0,,
recu8pEpivgz5FfGe,Stafford County VA,VA,Not Covered,0,,
recgTwY9yfCyuoR0N,Chittenden County VT,VT,Not Covered,0,,
recrbJA6e446aeE4W,Grant County WA,WA,Not Covered,0,,
